word,level,sentence,word_mean
language,a1,Watch your language.,"a system of communication consisting of sounds , words, and grammar :"
laptop,a2,Laptop.,a computer that is small enough to be carried around easily and is flat when closed
laugh,a1,Don't laugh. | Laughs,to smile while making sounds with your voice that show you think something is funny or you are happy :
laughter,a2,Laughter,the act or sound of laughing :
launch,b2,Launch!,an event to celebrate or introduce something new:
law,a2,There are laws. | It's the law.,"a rule , usually made by a government , that is used to order the way in which a society behaves :"
lawyer,a2,I'm a lawyer. | Lawyers.,someone whose job is to give advice to people about the law and speak for them in court :
layer,b1,He was a carpet layer for Jordan Marsh.,"a level of material , such as a type of rock or gas , that is different from the material above or below it, or a thin sheet of a substance :"
lead,b1,Lead the way. | Any leads?,"to control a group of people , a country , or a situation :"
leader,a2,Leader! | They were trying to buy the loyalty of tribal leaders by bribing them with precious stones but their caravans were being raided in a forest north of Rangoon by a bandit.,"a person in control of a group , country , or situation :"
leadership,b2,Leadership.,the set of characteristics that make a good leader :
leaf,b1,Longbottom Leaf.,"one of the flat , usually green parts of a plant that are joined at one end to the stem or branch :"
league,b2,You're out of your league.,a group of teams playing a sport who take part in competitions between each other:
learning,a2,You're learning.,the activity of obtaining knowledge :
leather,b1,Leather.,"animal skin treated in order to preserve it, and used to make shoes , bags , clothes , equipment , etc.:"
leave,b2,Leave me alone.,"to go away from someone or something, for a short time or permanently :"
lecture,a2,Don't lecture me.,"a formal talk on a serious subject given to a group of people , especially students :"
leg,a1,Spread your legs. | My leg!,one of the parts of the body of a human or animal that is used for standing or walking :
lemon,a2,Lemon.,"an oval fruit that has a thick , yellow skin and sour juice , or the small tree on which this fruit grows :"
length,b1,He asked me for a length of rope.,the measurement of something from end to end or along its longest side :
lesson,a1,I've learned my lesson. | Lessons?,a period of time in which a person is taught about a subject or how to do something:
letter,a1,What letters? | What letter?,"a city that is the centre of government of a country or smaller political area : | a written message from one person to another, usually put in an envelope and sent by post :"
library,a1,Library.,"a building , room , or organization that has a collection of books , documents , music , and sometimes things such as tools or artwork , for people to borrow , usually without payment :"
licence,b2,Licence and registration.,"an official document that gives you permission to own, do, or use something, usually after you have paid money and/or taken a test :"
life,a1,You saved my life.,"the period between birth and death , or the experience or state of being alive :"
lifestyle,a2,We are by-products of a lifestyle obsession.,someone's way of living ; the things that a person or particular group of people usually do:
lift,a2,Thanks for the lift.,to move something from a lower to a higher position :
like,b1,Like what?,to enjoy or approve of something or someone:
limit,b1,This is the limit! | There are limits.,"the greatest amount , number , or level of something that is either possible or allowed : | limit :"
line,a1,Line up!,"a long , thin mark on the surface of something:"
lion,a1,Lion! | Lions and tigers and bears!,"a large wild animal of the cat family with yellowish-brown fur that lives in Africa and southern Asia : | a large , brown wild cat that lives in North and South America"
lip,b1,What happened to your lip? | My lips are sealed.,one of the two soft parts that form the upper and lower edges of the mouth :
list,a1,What list? | Lists.,"a record of short pieces of information , such as people's names , usually written or printed with a single thing on each line and often ordered in a way that makes a particular thing easy to find :"
literature,b1,Literature.,"written artistic works , especially those with a high and lasting artistic value :"
load,b2,Loads. | Load!,"the amount of weight carried , especially by a vehicle , a structure such as a bridge , or an animal :"
loan,b2,It's a loan.,"an amount of money that is borrowed , often from a bank , and has to be paid back, usually together with an extra amount of money that you have to pay as a charge for borrowing :"
location,b1,"You know, even if these people existed with these facilities in secret locations... | Location?",a place or position :
look,a2,Looks good. | Look.,"a person's appearance , especially how attractive they are: | to direct your eyes in order to see :"
lord,b2,"My lords. | Oh, Lord.",→ the House of Lords : | a male peer
loss,b1,I'm sorry for your loss. | Your casino loses money.,the fact that you no longer have something or have less of something: | to no longer have something because you do not know where it is:
love,a1,I love you.,"to like another adult very much and be romantically and sexually attracted to them, or to have strong feelings of liking a friend or person in your family :"
luck,a2,Good luck.,"the force that causes things, especially good things, to happen to you by chance and not as a result of your own efforts or abilities :"
lunch,a1,Lunch.,a meal that is eaten in the middle of the day :
lung,b2,Lungs are clear. | Lung cancer.,either of the two organs in the chest with which people and some animals breathe :
machine,a1,Mean Machine!,a piece of equipment with several moving parts that uses power to do a particular type of work :
magazine,a1,I read it in a magazine.,a type of thin book with large pages and a paper cover that contains articles and photographs and is published every week or month :
mail,a2,You've got mail.,"the letters , etc. that are sent to or from people , or the system for sending letters , etc. from place to place :"
majority,b2,Majority rules.,the larger number or part of something:
make,b2,What difference does it make?,"to produce something, often using a particular substance or material :"
mall,b1,The mall.,"a large , usually covered , shopping area where cars are not allowed :"
man,a1,"Oh, man.",an adult male human being:
management,b1,Management.,the control and organization of something:
manager,a2,Manager!,the person who is responsible for managing an organization :
manner,a2,Where are your manners? | In a manner of speaking.,polite ways of treating other people and behaving in public : | the way in which something is done:
March,a1,March!,"an event in which a large number of people walk through a public place to express their support for something, or their disagreement with or disapproval of something:"
mark,a2,X marks the spot. | Mark.,"a small area on the surface of something that is damaged , dirty , or different in some way:"
market,a1,Black market.,"the people who might want to buy something, or a part of the world where something is sold :"
marketing,b1,Marketing.,a job that involves encouraging people to buy a product or service :
marriage,b1,Marriage?,"a legally accepted relationship between two people in which they live together, or the official ceremony that results in this:"
maths,a2,Do the math.,"the study of numbers , shapes , and space using reason and usually a special system of symbols and rules for organizing them"
matter,a2,What's the matter? | That's all that matters.,a situation or subject that is being dealt with or considered : | the situation being dealt with or being discussed :
May,a1,May I?,used to express possibility :
meal,a1,I fight for my meals | Enjoy your meal.,"an occasion when food is eaten , or the food that is eaten on such an occasion :"
meaning,a1,Meaning?,The meaning of something is what it expresses or represents :
measure,b1,A measure?,to discover the exact size or amount of something:
meat,a1,Meat.,the flesh of an animal when it is used for food :
media,a2,Subtitles by SDI Media Group,"the internet , newspapers , magazines , television , etc., considered as a group :"
medicine,a2,Medicine.,"treatment for illness or injury , or the study of this:"
meeting,a1,No meetings. | Nice meeting you.,"a planned occasion when people come together, either in person or online (= using the internet ) , to discuss something:"
member,a1,"In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. | I'm a member.","a person , animal , or thing that is part of a group :"
memory,a2,Refresh my memory. | Memories.,"the ability to remember information , experiences , and people :"
mention,b1,Don't mention it.,"to speak about something quickly , giving little detail or using few words:"
menu,a1,What's on the menu?,a list of the food that you can eat in a restaurant :
mess,b1,What a mess.,Mess or a mess is something or someone that looks dirty or untidy :
message,a1,Leave a message.,a short piece of information that you give to a person when you cannot speak to them directly :
metal,a2,Metal.,"a chemical element , such as iron or gold , or a mixture of such elements , such as steel , that is generally hard and strong , and through which electricity and heat can travel :"
method,a2,"Are my methods unsound? | Now, look, maybe your method of massage differs from mine.",a particular way of doing something:
midnight,a1,Midnight.,twelve o'clock in the middle of the night :
mile,a1,About a mile.,"a unit of distance equal to 1,760 yards or 1.6 kilometres :"
milk,a1,Milk?,"the white liquid produced by cows , goats , and sheep and used by humans as a drink or for making butter , cheese , etc.:"
mind,a2,Never mind. | Are you out of your minds?,"the part of a person that makes it possible for him or her to think , feel emotions , and understand things:"
mine,b1,It's mine.,the one(s) belonging to or connected with me:
mineral,b2,Mineral water.,a valuable or useful chemical substance that is formed naturally in the ground
minister,b2,"Prime Minister. | To my right, a row of ministers, more sinisters than ministers.",a member of the government in Britain and many other countries who is in charge of a particular department or has an important position in it:
minute,a1,Wait a minute.,"one of the 60 parts that an hour is divided into, consisting of 60 seconds :"
mirror,a2,It mirrors only starlight and moonlight. | Look in the mirror.,"a piece of glass with a shiny , metal-covered back that reflects light , producing an image of whatever is in front of it:"
mission,b2,Mission accomplished. | Then who's planning the missions now?,"an important job , especially a military one, that someone is sent somewhere to do:"
mistake,a1,I made a mistake.,"an action , decision , or judgment that produces an unwanted or unintentional result :"
mix,b1,Mix it up.,"to ( cause different substances to) combine , so that the result cannot easily be separated into its parts :"
mixture,b1,His mixture got screwed up.,"a substance made from a combination of different substances , or any combination of different things:"
mobile,a2,NdeR MnkÖÖ  Mobile - 919815899536,moving or walking around freely :
model,a1,Models? | Model?,something that a copy can be based on because it is an extremely good example of its type :
moment,a1,Just a moment. | I have my moments.,a very short period of time :
Monday,a1,Monday.,the day of the week after Sunday and before Tuesday :
money,a1,Money.,"coins or notes (= special pieces of paper ) that are used to buy things, or an amount of these that a person has:"
monitor,b2,I got it on the big monitor.,a person who has the job of watching or noticing particular things:
monkey,a2,Monkeys. | Monkey!,"an animal that lives in hot countries , has a long tail , and climbs trees . Monkeys are primates (= the group of animals that are most like humans ) ."
month,a1,Six months. | A month?,"a period of about four weeks , especially one of the twelve periods into which a year is divided :"
mood,b1,I'm not in the mood.,the way you feel at a particular time :
moon,a2,The moon.,the round object that moves in the sky around the earth and can be seen at night :
moral,b2,Moral support.,"relating to the standards of good or bad behaviour , fairness , honesty , etc. that each person believes in, rather than to laws :"
morning,a1,Good morning. | Gonna drive him to school in the mornings?,the part of the day from the time when the sun rises or you wake up until the middle of the day or lunch time : | every morning :
mother,a1,Mothers. | Mother!,a female parent :
motorcycle,a2,Motorcycle.,a vehicle with two wheels and an engine
mountain,a1,Mountains. | Mountain.,"used as part of a name for a group of mountains: | a raised part of the earth's surface , much larger than a hill , the top of which might be covered in snow :"
mouse,a1,Mouse!,"a small mammal with short fur , a pointed face , and a long tail :"
mouth,a1,Shut your mouths! | Open your mouth.,"the opening in the face of a person or animal , consisting of the lips and the space between them, or the space behind containing the teeth and the tongue :"
move,b1,Move!,to ( cause to) change position :
movement,a2,No sudden movements. | Movement.,what someone is doing during a particular period : | a change of position :
movie,a1,What movie?,a film shown in a cinema or on television and often telling a story :
mud,b1,Mud.,earth that has been mixed with water :
mum,a1,Mum!,a mother :
muscle,b1,Don't move a muscle.,one of many tissues in the body that can tighten and relax to produce movement :
museum,a1,The museum.,"a building where objects of historical , scientific , or artistic interest are kept :"
music,a1,Music.,"a pattern of sounds made by musical instruments , voices , or computers , or a combination of these, intended to give pleasure to people listening to it:"
musician,a2,Musicians. | I'm a musician.,"someone who is skilled in playing music , usually as a job :"
mystery,b1,Department of Mysteries. | It's a mystery.,something strange or not known that has not yet been explained or understood :
nail,b1,Tough as nails. | Nail them up!,"a small , thin piece of metal with one pointed end and one flat end that you hit into something with a hammer , especially in order to fasten or join it to something else :"
nation,b1,"Roger Ramjet, he's our man, Hero of our nation. | Long ago, the four nations lived together in harmony.","a country , especially when thought of as the people who live there, often with its own culture , language , and customs :"
nature,a2,It's human nature.,"all the animals , plants , rocks , etc. in the world and all the features , forces , and processes that happen or exist independently of people , such as the weather , the sea , mountains , the production of young animals or plants , and growth :"
neck,a2,What happened to your neck? | People with ropes around their necks don't always hang.,the part of the body that joins the head to the shoulders :
need,a2,I need your help. | He needs me.,"to have to have something, or to want something very much: | the things you must have for a satisfactory life :"
needle,b1,Needle in a haystack.,"a thin metal pin , used in sewing , that is pointed at one end and has a hole called an eye at the other end for thread :"
neighbour,a1,"Ample parking day or night People spouting, Howdy, neighbour | We're neighbours.",someone who lives very close to you:
neighbourhood,b1,I was in the neighbourhood.,"the area of a town that surrounds someone's home , or the people who live in this area :"
nerve,b2,What nerve!,"a group of long , thin fibres (= structures like threads ) that carry information or instructions between the brain and other parts of the body :"
net,b1,Subtitles downloaded from Podnapisi.NET,"material made of threads of rope , string , wire , or plastic with spaces between them, allowing gas , liquid , or small objects to go through, or an object made with this material that is used to limit the movement of something:"
network,a2,This has been a color presentation of the NBC Television Network.,"a large system consisting of many similar parts that are connected together to allow movement or communication between or along the parts , or between the parts and a control centre :"
newspaper,a1,Newspaper? | Newspapers!,"a regularly printed document consisting of large sheets of paper that are folded together, or a website , containing news reports , articles , photographs , and advertisements :"
night,a1,I work nights. | Good night.,"at night , especially every night : | the part of every 24-hour period when it is dark because there is very little light from the sun :"
nightmare,b2,This is a nightmare.,a very upsetting or frightening dream :
noise,a2,What's that noise?,"a sound or sounds , especially when it is unwanted , unpleasant , or loud :"
nose,a1,My nose!,"the part of the face that sticks out above the mouth , through which you breathe and smell :"
note,a1,A note?,a short piece of writing:
notice,a2,I didn't notice.,to see or become conscious of something or someone:
notion,b2,Excellent notion.,a belief or idea :
novel,a2,A novel? | Novels?,a long printed story about imaginary characters and events :
November,a1,November.,"the eleventh month of the year , after October and before December :"
number,a1,Numbers. | Wrong number.,a number of a particular description : | (a sign or symbol representing ) a unit that forms part of the system of counting and calculating :
nurse,a1,Nurse!,"(the title given to) a person whose job is to care for people who are ill or injured , especially in a hospital :"
nut,a2,He's a nut. | Are you nuts?,the dry fruit of particular trees that grows in a hard shell and can often be eaten : | an rude word for testicles (= round male sex organs that produce sperm )
obligation,b2,No obligation.,the fact that you are obliged to do something:
observation,b2,Observation.,the act of observing something or someone:
occasion,b1,What's the occasion? | Only on special occasions.,"a particular time , especially when something happens or has happened :"
ocean,a2,The ocean.,a very large area of sea :
October,a1,October.,"the tenth month of the year , after September and before November :"
offence,b2,No offence.,an illegal act ; a crime :
offer,a2,He is grateful for the assistance your country offers. | Can I offer you a drink?,to ask someone if they would like to have something or if they would like you to do something:
office,a1,In my office.,"a room or part of a building in which people work , especially sitting at tables with computers , phones , etc., usually as a part of a business or other organization :"
officer,a2,Officer! | We're police officers.,a person in the armed forces who has a position of authority :
oil,a2,Oil.,petroleum (= the black oil obtained from under the earth's surface from which petrol comes) :
onion,a1,Onions. | Onion?,"a vegetable with a strong smell and flavour , made up of several layers surrounding each other tightly in a round shape , usually brown or red on the outside and white inside:"
opening,b2,It's opening!,a hole or space that something or someone can pass through:
operation,b1,What operation? | Operations.,the fact of operating or being active : | → operation
opinion,a1,Even the opinions of yourself? | What's your opinion?,a thought or belief about something or someone:
opponent,b2,Never underestimate your opponent.,a person who disagrees with something and speaks against it or tries to change it:
opportunity,a2,It's a great opportunity. | There will be other opportunities.,"an occasion or situation that makes it possible to do something that you want to do or have to do, or the possibility of doing something:"
opposition,b2,No opposition.,strong disagreement :
option,a2,That's not an option. | Options?,"one thing that can be chosen from a set of possibilities , or the freedom to make a choice :"
order,a1,Order! | Doctor's orders.,"a request to make, supply , or deliver food or goods :"
organ,b2,Silver's penetrated his organs. | Organ,a part of the body of an animal or plant that performs a particular job :
organization,a2,I'm the brains of the organization.,a group of people who work together in an organized way for a shared purpose :
origin,b2,Origin?,the beginning or cause of something:
outcome,b2,What was the outcome?,"a result or effect of an action , situation , etc.:"
oven,a2,It's like an oven in here.,"the part of a cooker with a door , used to bake or roast food :"
owner,a2,Are you the owner? | Does it matter to you at all that the owners have placed their complete confidence in me and that I have signed a letter of agreement in which I've accepted that responsibility?,someone who owns something:
pace,b2,Pick up the pace.,"the speed at which someone or something moves , or with which something happens or changes :"
pack,b1,Pack your things. | You're into me for five packs already.,"to put something into a bag , box , etc.: | a large bag used to carry things on your back, used especially by people who go camping or walking :"
package,b1,What package?,"an object or set of objects wrapped in paper , usually in order to be sent by post :"
page,a1,They're a page right out of history,"a side of one of the pieces of paper in a book , newspaper , or magazine , usually with a number printed on it:"
pain,a2,Chest pains? | Are you in pain?,to try very hard to do something: | a feeling of physical suffering caused by injury or illness :
painter,a2,Painter.,someone who paints pictures
painting,a1,Painting. | Paintings.,a picture made using paint :
pair,a1,Two pairs. | Two pair.,"two things of the same appearance and size that are intended to be used together, or something that consists of two parts joined together:"
palace,a2,It's a palace.,"a large house that is the official home of a king , queen , or other person of high social rank :"
pan,b1,Pan!,"a metal container that is round and often has a long handle and a lid , used for cooking things on top of a cooker :"
panel,b2,There's a busted fitting behind this panel.,"a small group of people chosen to give advice , make a decision , or publicly discuss their opinions as entertainment :"
pants,a2,Take off your pants.,a piece of underwear covering the area between the waist and the tops of the legs
paper,a1,Paper! | Papers.,"thin , flat material made from crushed wood or cloth , used for writing, printing , or drawing on: | official documents , especially ones that show who you are:"
parent,a1,Where are your parents? | No parent should have to bury their child.,"a mother or father of a person or an animal , or someone who looks after a person in the same way that a parent does:"
park,a1,Parks. | You can't park here.,"a large area of land with grass and trees , usually surrounded by fences or walls , and specially arranged so that people can walk in it for pleasure or children can play in it:"
parking,a2,No parking.,leaving a vehicle in a particular place for a period of time :
parliament,b2,Key members of Parliament have personally observed this subject.,"in some countries , the group of (usually) elected politicians or other people who make the laws for their country :"
part,a1,Which part? | Parts.,some but not all of a thing:
partner,a1,We're partners. | Partner.,a person or organization you are closely involved with in some way:
party,a1,I love parties. | Party!,"a social event at which a group of people meet to talk , eat , drink , dance , etc., often in order to celebrate a special occasion :"
pass,b1,Pass.,"to go past something or someone or move in relation to it, him, or her:"
passage,b2,"Well, there's this passage I got memorized.","a usually long and narrow part of a building with rooms on one or both sides , or a covered path that connects places :"
passenger,a2,The white zone is for immediate loading and unloading of passengers only. | You gonna drive around with a tiger in your passenger seat?,"a person who is travelling in a vehicle but is not driving it, flying it, or working on it:"
passion,b1,Passion.,"a very powerful feeling , for example of sexual attraction , love , hate , anger , or other emotion :"
passport,a1,Passports. | Passport.,an official document containing personal information and usually a photograph that allows a person to travel to foreign countries and to prove who they are:
path,b1,He leadeth me in the paths of righteousness for his name's sake. | Clear a path.,"a route or track between one place and another, or the direction in which something is moving :"
pattern,a2,A pattern. | So fuck off with your sofa units and Strinne green stripe patterns.,"a particular way in which something is done, is organized , or happens :"
pay,a2,Who pays? | Pay attention.,to give money to someone for something you want to buy or for services provided :
payment,b1,Payment. | Stop all payments.,an amount of money paid :
peace,a2,Peace.,"freedom from war and violence , especially when people live and work together happily without disagreements :"
pen,a1,Do you have a pen?,"a long , thin object used for writing or drawing with ink :"
pencil,a1,Pencil.,"a long , thin object , usually made of wood , for writing or drawing , with a sharp black or coloured point at one end:"
penny,a2,Penny! | Pennies.,"the smallest unit of money in the UK, of which there are 100 in a pound , or a small coin worth this much. You use ""pence"" or, more informally , ""p"" when you are talking about the units of money and pennies when you are talking about the coins themselves: | plural of penny"
pension,b2,Pension?,an amount of money paid regularly by the government or a private company to a person who does not work any more because they are too old or have become ill :
people,a1,Who are these people?,"men, women, and children :"
pepper,a1,Pepper.,"a grey or white powder produced by crushing dry peppercorns , used to give a spicy , hot taste to food :"
percentage,b1,If we cut down my percentage...,"an amount of something, often expressed as a number out of 100:"
performance,b1,What a performance.,"how well a person , machine , etc. does a piece of work or an activity :"
period,a1,Period.,a length of time :
permission,a2,Permission granted.,"If someone is given permission to do something, they are allowed to do it:"
permit,b2,Permit me.,to allow something:
person,a1,Fifty persons only! | In person.,"a man, woman, or child :"
personality,a2,Personality.,"the type of person you are, shown by the way you behave , feel , and think :"
perspective,b2,Perspective.,a particular way of considering something:
pet,a2,It's a wonderful pet to have. | Pets?,"an animal that you keep in your home , for pleasure rather than for work or food :"
petrol,a2,Petrol.,"a liquid obtained from petroleum , used especially as a fuel for cars and other vehicles :"
phase,b2,It's just a phase.,any stage in a series of events or in a process of development :
phenomenon,b2,A phenomenon.,"something that exists and can be seen , felt , tasted , etc., especially something unusual or interesting :"
philosophy,b2,Philosophy.,"the use of reason in understanding such things as the nature of the real world and existence , the use and limits of knowledge , and the principles of moral judgment :"
photo,a1,Photo. | Photos.,a photograph :
photograph,a1,A photograph. | Photographs.,a picture produced using a camera :
photographer,b1,I'm a photographer.,"a person who takes photographs , either as a job or hobby :"
photography,b1,Director of Photography,the activity or job of taking photographs or filming :
phrase,a1,Weather changes the phrase.,"a group of words that is part of, rather than the whole of, a sentence"
physics,a2,Physics.,the scientific study of matter and energy and the effect that they have on each other:
piano,a1,Piano,a large musical instrument with a row of black and white keys that are pressed to play notes :
pick,b2,He picks it up here. | Pick it up.,to take some things and leave others :
picture,a1,I get the picture.,"a drawing , painting , photograph , etc.:"
piece,a1,Piece of cake.,a part of something:
pig,a1,Pigs! | Pig!,"a large pink , brown , or black farm animal with short legs and a curved tail , kept for its meat :"
pile,b2,You just ran through a big pile of dog shit!,objects positioned one on top of another:
pilot,a2,All pilots to your stations. | Pilot?,a person who flies an aircraft :
pin,b1,Pin. | Pins.,"a small thin piece of metal with a point at one end, especially used for temporarily holding pieces of cloth together:"
pipe,b1,Pipe down.,a tube inside which liquid or gas flows from one place to another:
pitch,b2,Here's the pitch.,"an area painted with lines for playing particular sports , especially football :"
place,a1,What is this place?,"an area , town , building , etc.:"
plane,a1,The plane!,"a vehicle designed for air travel , with wings and one or more engines :"
planet,a2,"Go, Planet! | Then peace will guide the planets","an extremely large , round mass of rock and metal , such as Earth , or of gas , such as Jupiter , that moves in a circular path around the sun or another star :"
planning,b1,What are you planning to do?,the act of deciding how to do something:
plant,a1,Plants. | Plant!,"a living thing that grows in earth , in water , or on other plants, usually has a stem , leaves , roots , and flowers , and produces seeds :"
plate,a2,Plate.,"a flat , usually round dish with a slightly raised edge that you eat from or serve food from:"
platform,a2,Prepare to disengage from platform.,a flat raised area or structure
play,a1,Let's play. | Money plays.,"When you play, especially as a child , you spend time doing an enjoyable and/or entertaining activity :"
player,a1,Four players. | Best watched using Open Subtitles MKV Player,someone who takes part in a game or sport :
pleasure,b1,My pleasure.,"enjoyment , happiness , or satisfaction , or something that gives this:"
plot,b1,The plot thickens.,"the story of a book , film , play , etc.:"
pocket,a2,In my pocket. | Empty your pockets.,"a small bag for carrying things in, made of cloth and sewn into the inside or onto the outside of a piece of clothing :"
poem,b1,A poem? | Poems?,"a piece of writing in which the words are arranged in separate lines , often ending in rhyme , and are chosen for their sound and for the images and ideas they suggest :"
poet,b1,He's a poet.,a person who writes poems
poetry,b1,Poetry.,poems in general as a form of literature :
poison,b1,Poison?,a substance that can make people or animals ill or kill them if they eat or drink it:
police,a1,Police!,"the official organization that is responsible for protecting people and property , making people obey the law , finding out about and solving crime , and catching people who have committed a crime :"
policeman,a1,I'm a policeman.,a male member of a police force
policy,b1,It's policy.,"a set of ideas or a plan of what to do in particular situations that has been agreed to officially by a group of people , a business organization , a government , or a political party :"
politics,b1,Politics.,"the activities of the government , members of law-making organizations , or people who try to influence the way a country is governed :"
politician,b1,He's a politician. | Politicians.,a member of a government or law-making organization :
pool,a1,Pool.,a small area of usually still water :
population,a2,Population?,"all the people living in a particular country , area , or place :"
port,b1,Hard to port!,"a town by the sea or by a river that has a harbour , or the harbour itself:"
portrait,b1,Paint a self-portrait.,"a painting , photograph , drawing , etc. of a person or, less commonly , of a group of people :"
position,a2,We're in position. | Take your positions.,"the place where something or someone is, often in relation to other things:"
possession,a2,Possession. | Along with all his possessions.,the fact that you have or own something:
possibility,a2,It's a possibility. | Imagine the possibilities.,a chance that something may happen or be true :
post,a1,Return to your posts! | This is my post.,"letters , etc. that are delivered to homes or places of work :"
poster,a2,That and a big goddamn poster. | The police keep using that old photo of you in the posters.,"a large printed picture , photograph , or notice that you stick or pin to a wall or board , usually for decoration or to advertise something:"
pot,b1,Pot? | Pots and pans.,"any of various types of container , usually round, especially one used for cooking food : | abbreviation for plain old telephone service : an ordinary telephone service with no special features :"
potato,a1,Potato. | Potatoes.,"a round vegetable that grows underground and has white flesh with light brown , red , or pink skin , or the plant on which these grow : | plural of potato"
pound,a1,"Pounds. | In for a penny, in for a pound.",the standard unit of money used in the UK and some other countries :
poverty,b1,Poverty.,the condition of being extremely poor :
powder,b1,Powder.,"a loose , dry substance that consists of extremely small pieces , usually made by breaking something up and crushing it:"
practice,a1,Practice.,action rather than thought or ideas :
praise,b2,Praise the Lord.,to express admiration or approval of the achievements or characteristics of a person or thing:
prayer,b1,"Lord, hear our prayer. | Say your prayers.",the words that someone says or thinks when they are praying :
preparation,b2,Make the preparations. | Preparation.,plans or arrangements that you make to prepare for something: | the things that you do or the time that you spend preparing for something:
press,b1,Press.,"to push something firmly , often without causing it to move permanently further away from you:"
presence,b2,Thou preparest a table before me in the presence of mine enemies.,the fact that someone or something is in a place :
presentation,b1,This has been a color presentation of the NBC Television Network.,a talk giving information about something:
president,a2,Mr. President.,"(the title given to) the person who has the highest political position in a country that is a republic and who, in some of these countries , is the leader of the government :"
pressure,b1,No pressure.,the force you produce when you press something:
price,a1,Name your price.,the amount of money for which something is sold :
priest,b1,Priests? | Priest!,"a person , usually a man, who has been trained to perform religious duties in the Christian Church , especially the Roman Catholic Church , or a person with particular duties in some other religions :"
prince,b1,Prince!,"an important male member of a royal family , especially a son or grandson of the king or queen :"
princess,b1,Princess!,"an important female member of a royal family , especially a daughter or granddaughter of a king and queen , or the wife of a prince :"
principle,b2,It's a matter of principle.,a basic idea or rule that explains or controls how something happens or works :
print,b2,No prints. | Print it.,"the pattern of curved lines on the end of a finger or thumb that is different in every person , or a mark left by this pattern : | letters , numbers , or symbols that have been produced on paper by a machine using ink :"
printing,b1,Let Polly do the printing.,the activity or business of producing writing or images on paper or other material with a machine :
priority,b2,Top priority.,something that is very important and must be dealt with before other things:
prison,a2,Prison?,a building where criminals are forced to live as a punishment :
prisoner,b1,Prisoner? | Prisoners?,a person who is kept in prison as a punishment :
privacy,b2,Privacy.,someone's right to keep their personal matters and relationships secret :
prize,a2,What's the prize?,"something valuable , such as an amount of money , that is given to someone who succeeds in a competition or game or that is given to someone as a reward for doing very good work :"
problem,a1,No problem. | Any problems?,"a situation , person , or thing that needs attention and needs to be dealt with or solved :"
procedure,b2,Standard procedure.,a set of actions that is the official or accepted way of doing something:
process,a2,It's a process.,a series of actions that you take in order to achieve a result :
produce,b2,Produce.,to make something or bring something into existence :
producer,b1,Executive Producers Nobuyuki Okude Kenji Yokoyama Tatsuya Yoshida Planning Transformer Station Takayuki Nakano Makoto Fujita Kouzin Ohno Hidehito Kaizuka | Producer,"a person who makes the practical and financial arrangements needed to make a film , play , or television or radio programme :"
product,a1,We are by-products of a lifestyle obsession. | Where's the product?,"something that is made to be sold , usually something that is produced by an industrial process or, less commonly , something that is grown or obtained through farming :"
production,b1,I Love Lucy is a Desilu Production.,the process of making or growing goods to be sold :
profession,b1,Profession?,"any type of work that needs special training or a particular skill , often one that is respected because it involves a high level of education :"
professor,a2,Professor!,"a teacher of the highest rank in a department of a British university , or a teacher of high rank in an American university or college :"
profile,a2,Keep a low profile.,"a short description of someone's life , work , character , etc."
profit,b1,I just process the profits. | Please do not stream or make profit from these subtitles.,money that is earned in trade or business after paying the costs of producing and selling goods and services :
program,a2,Programs! | The following program is brought to you in living color on NBC.,a series of instructions that can be put into a computer in order to make it perform an operation :
programme,a1,This programme contains some strong language.,a broadcast on television or radio :
progress,a2,Any progress?,"movement to an improved or more developed state , or to a forward position :"
project,a1,"In order to continue current projects and to expand our services we need your help. | The Babylon Project was our last, best hope for peace.",a piece of planned work or an activity that is finished over a period of time and intended to achieve a particular purpose :
promise,a2,I promise.,to tell someone that you will certainly do something:
proof,b2,Proof?,a fact or piece of information that shows that something exists or is true :
property,b1,This is private property. | Unclaimed properties of a valuable nature?,an object or objects that belong to someone:
proposal,b2,I have a proposal.,"a suggestion , sometimes a written one:"
prospect,b2,I suppose that prospect pleases you?,the possibility that something good might happen in the future :
protection,b2,Protection.,the act of protecting or state of being protected :
protest,b1,I protest!,"a strong complaint expressing disagreement , disapproval , or opposition :"
psychologist,b2,I'm a psychologist.,"someone who studies the human mind and human emotions and behaviour , and how different situations have an effect on people :"
psychology,b2,Psychology.,"the scientific study of the way the human mind works and how it influences behaviour , or the influence of a particular person's character on their behaviour :"
pub,a2,Pub?,"a place , especially in Great Britain or Ireland, where alcoholic drinks can be bought and drunk and where food is often available :"
pull,b1,Leave as soon as the patrol car pulls out. | Pull!,"to move something towards yourself, sometimes with great physical effort :"
punishment,b1,Punishment?,the act of punishing someone:
pupil,b2,Pupils fixed and dilated. | Fluctuation of the pupil.,"a person , especially a child at school , who is being taught :"
purpose,a2,For what purpose?,why you do something or why something exists :
push,b1,Push!,"to use physical pressure or force , especially with your hands , in order to move something into a different position , usually one that is further away from you:"
quality,a2,Knickety-knackety Rustical quality | These are extraordinary qualities,how good or bad something is:
quarter,a1,General quarters! | A quarter.,"a room or house that has been provided , especially for servants or soldiers and their families , to live in: | one of four equal or almost equal parts of something; ¼:"
