roger,"Roger Ramjet, he's our man, Hero of our nation.",exact,used in radio communications to mean that a message has been received and understood :
im,"As always, should you or any of your IM Force be caught or killed, the Secretary will disavow any knowledge of your actions.",exact,abbreviation for instant messaging
william,"Cheltham, this is William Wallace.",exact,"a garden flower from the genus (= group of plants ) Dianthus with groups of red , white , pink , or purple flowers that have a sweet spicy smell :"
piano,Do you play the piano?,exact,a large musical instrument with a row of black and white keys that are pressed to play notes :
touched,"Touched, he cannot be felt.",exact,grateful for something kind that someone has done:
prize,Our prize is awaited in Berlin.,exact,"something valuable , such as an amount of money , that is given to someone who succeeds in a competition or game or that is given to someone as a reward for doing very good work :"
adam,"I am Adam, Prince of Eternia and defender of the secrets of Castle Grayskull.",exact,a character in the Bible who was the first man made by God
grew,"Carlo, you grew up in Nevada.",exact,past simple of grow
fail,That is why you fail.,exact,to not succeed in what you are trying to achieve or are expected to do:
rob,I'm not saying I wanna rob banks.,exact,"to take money or property illegally from a place , organization , or person , often using violence :"
tip,It's on the tip of my tongue.,exact,to ( cause to) move so that one side is higher than another side :
hills,Over the hills and far away,exact,an area of land that is higher than the surrounding land :
bags,Make sure your man double-bags.,exact,"a soft container made out of paper or thin plastic , and open at the top , used to hold foods and other goods :"
sentence,But was their crime so great as to merit a death sentence?,exact,"a group of words, usually containing a verb , that expresses a thought in the form of a statement , question , instruction , or exclamation and starts with a capital letter when written:"
moves,"If he moves, kill him.",exact,to ( cause to) change position :
blew,"All told, he blew town with better than 370,000 of Warden Norton's money.",exact,past simple of blow
swim,"Yeah, let's go for a swim.",exact,to move through water by moving the body or parts of the body :
thomas,Re-elect Mayor Red Thomas.,exact,a person who refuses to believe anything until they are shown proof
highness,"Your Highness, there's nothing more we can do tonight.",exact,used when you are speaking to or about a royal person :
silent,You have the right to remain silent.,exact,without any sound :
pulling,You're pulling my leg.,exact,present participle of pull
memories,Memories I have are always beautiful in my mind.,exact,"the ability to remember information , experiences , and people :"
throwing,You're throwing me out?,exact,"to send something through the air with force , especially by a sudden movement of the arm :"
hire,"If you have a problem, if no one else can help... and if you can find them... maybe you can hire the A-Team.",exact,to pay to use something for a short period :
candy,Like taking candy from a baby.,exact,"a sweet food made from sugar or chocolate , or a piece of this:"
dan,"What do you do here in New York, Lieutenant Dan?",exact,one of the ten higher levels in judo or karate
monkey,"What is your malfunction, you fat barrel of monkey spunk?",exact,"an animal that lives in hot countries , has a long tail , and climbs trees . Monkeys are primates (= the group of animals that are most like humans ) ."
traffic,"The traffic in drugs will be permitted, but controlled.",exact,"the number of vehicles moving along roads , or the amount of aircraft , trains , or ships moving along a route :"
squad,"Second squad, what's your status?",exact,a small group of people trained to work together as a unit :
properly,"Our inmates, properly supervised will be put to work outside these walls performing all manner of public service.",exact,"correctly , or in a satisfactory way:"
accused,We have the accused at the scene of the crime.,exact,the person who is on trial in a law court :
arranged,I think that can be arranged.,exact,past simple and past participle of arrange
pot,Pot bellies make a man look either oafish or like a gorilla.,exact,"any of various types of container , usually round, especially one used for cooking food :"
lousy,And take this lousy money with you.,exact,very bad :
penny,"In for a penny, in for a pound.",exact,"the smallest unit of money in the UK, of which there are 100 in a pound , or a small coin worth this much. You use ""pence"" or, more informally , ""p"" when you are talking about the units of money and pennies when you are talking about the coins themselves:"
stands,How long will Stands With A Fist mourn?,exact,a stand :
tiny,He was pissed that there were seven of us living in such a tiny house.,exact,extremely small :
lied,Have I ever lied to you?,exact,a type of song that was popular in Germany in the early 19th century and that is usually performed by a singer backed by a piano :
artist,"Your daughter, she's the artist?",exact,"someone who paints , draws , or makes sculptures :"
confidence,Thanks for the vote of confidence.,exact,"the quality of being certain of your abilities or of having trust in people , plans , or the future :"
precious,Did you get your precious photos?,exact,"of great value because of being rare , expensive , or important :"
dump,We can't just dump him on the street.,exact,to put down or drop something in a careless way:
district,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",exact,"an area of a country or town that has fixed borders that are used for official purposes , or that has a particular feature that makes it different from surrounding areas :"
families,And also the other families.,exact,"a group of people who are related to each other, such as a mother , a father , and their children :"
pete,"Forgive me, but with you gone, me and Pete will come under Barzini's thumb.",exact,I am surprised or annoyed by this:
slowly,The fire is slowly dying,exact,at a slow speed :
bow,Sampan off the port bow.,exact,"to bend your head or body forward , especially as a way of showing someone respect or expressing thanks to people who have watched you perform :"
rocks,It was the same reason he spent years shaping and polishing those rocks.,exact,used to show that you like or approve of someone or something a lot:
based,You don't judge shit like this based on merit.,exact,"used to form adjectives showing the main place or area in which something or someone works , lives , or does business :"
firm,Someone broke into his law firm and bled him to death.,exact,not soft but not completely hard:
minds,Are you out of your minds?,exact,"the part of a person that makes it possible for him or her to think , feel emotions , and understand things:"
tricks,"No more meetings, discussions, or Sollozzo tricks.",exact,"an action that is intended to deceive , either as a way of cheating someone, or as a joke or form of entertainment :"
theory,"According to my theory, you interfered with your parents' first meeting.",exact,"a formal statement of the rules on which a subject of study is based or of ideas that are suggested to explain a fact or event or, more generally , an opinion or explanation :"
physical,But then I got orders for my physical.,exact,relating to the body :
comin,I'm comin' forward with the side stick.,exact,
puts,He puts his hand in your shirt and squeezes your tit till it's purple.,exact,"to move something or someone into the stated place , position , or direction :"
bless,"Bless me, Father, for I have sinned.",exact,"to ask for God's help and protection for someone or something, or to call or make someone or something holy"
edge,"It keeps me sharp, on the edge.",exact,the outer or furthest point of something:
maria,How do you solve a problem like Maria?,exact,a police vehicle used to transport prisoners
kidding,You've got to be kidding.,exact,present participle of kid informal
slave,"With this pool of slave labor, you can underbid any contractor in town.",exact,a person who is legally owned by someone else and has to work for that person :
foolish,"Friends, we've been foolish.",exact,"unwise , stupid , or not showing good judgment :"
wanting,I've been wanting to talk to you.,exact,not having something; lacking :
china,The china had never been used.,exact,"clay of a high quality that is shaped and then heated to make it permanently hard, or objects made from this, such as cups and plates :"
settled,An old claim that was settled under terms of absolute secrecy.,exact,"If you feel settled in a job , school , etc., you have become familiar with it and are comfortable and happy there:"
jungle,"George, George George of the Jungle",exact,a tropical forest in which trees and plants grow very closely together:
plays,The negotiator plays cards until Mike is back safe.,exact,"When you play, especially as a child , you spend time doing an enjoyable and/or entertaining activity :"
cooking,"As soon as I got home, I started cooking.",exact,the activity of preparing or cooking food :
handed,He was handed a butcher's knife.,exact,"with, having, or using the hand or hands described :"
checking,"What are you doing, checking up on me?",exact,present participle of check
engaged,Doesn't mean we're engaged or anything.,exact,having formally agreed to marry :
rice,What's in the rice bag?,exact,"the small seeds of a particular type of grass , cooked , and eaten as food :"
terribly,"He's young, not terribly bright.",exact,very badly :
shoulder,Attack ships on fire off the shoulder of Orion.,exact,one of the two parts of the body at each side of the neck that join the arms to the rest of the body :
grandma,"I'm going to get my car, Grandma.",exact,a grandmother :
joined,He joined the Special Forces.,exact,past simple and past participle of join
score,Let's see how the score comes out.,exact,"to win or get a point , goal , etc. in a competition , sport , or game :"
celebrate,We're going to celebrate.,exact,to take part in special enjoyable activities in order to show that a particular occasion is important :
shopping,"When Bonnie goes shopping, she buys shit.",exact,the activity of buying things from shops :
laura,Laura was a patient of mine.,exact,
alarm,There is no cause for alarm.,exact,"a warning of danger , usually a loud noise or flashing light :"
climb,She taught me how to climb.,exact,"to go up, or to go towards the top of something:"
event,I backtracked everything to this one event.,exact,"anything that happens , especially something important or unusual :"
merely,I merely commented that it was freezing in the princess's chamber.,exact,used to emphasize that you mean exactly what you are saying and nothing more:
someone's,Someone's meeting me in the restaurant.,exact,the 19th letter of the English alphabet
attitude,What kind of attitude is that?,exact,"a feeling or opinion about something or someone, or a way of behaving that is caused by this:"
fed,They fed me on corn bread and beans,exact,past simple and past participle of feed
notes,When you know the notes to sing,exact,information written on paper :
moments,And for the briefest of moments every last man at Shawshank felt free.,exact,a very short period of time :
kingdom,"Thy kingdom come, thy will be done on earth as it is in heaven.",exact,a country ruled by a king or queen :
exchange,He's got his own exchange.,exact,the act of giving something to someone and them giving you something else :
sharp,Look how sharp this guy is to figure that.,exact,having a thin edge or point that can cut something or make a hole in something:
snake,"He is a snake, that's what he is.",exact,a reptile with a long body and no legs :
saint,Patron saint of the place.,exact,"(the title given to) a person who has received an official honour from the Christian , especially the Roman Catholic , Church for having lived in a good and holy way. The names of saints are sometimes used to name places and buildings :"
punch,Wallace will punch your friend as long as the song goes.,exact,a forceful hit with a fist (= closed hand ) :
cure,"Of course, there is one outside chance for a cure.",exact,to make someone with an illness healthy again:
noble,But it is exactly the ability to compromise that makes a man noble.,exact,"moral in an honest , brave , and kind way:"
result,And this is the result.,exact,something that happens or exists because of something else :
pleasant,"Well, this is a pleasant surprise.",exact,"enjoyable , attractive , friendly , or easy to like:"
advance,Would sir care to pay for his bill in advance?,exact,"to go or move something forward , or to develop or improve something:"
modern,They're the modern stone age family,exact,designed and made using the most recent ideas and methods :
tank,Did you check the tank?,exact,a container that holds liquid or gas :
cheese,They call it a Royale with Cheese.,exact,"a food made from milk , or from a milk-like substance taken from plants , that can be either firm or soft and is usually yellow or white in colour :"
everybody's,"Unfortunately, by breaking quarantine, you risk everybody's life.",exact,
dragon,Just where did you and your dragon come from?,exact,"a large , frightening imaginary animal , often represented with wings , a long tail , and fire coming out of its mouth"
kinds,There are all kinds of stories.,exact,"generous , helpful , and thinking about other people's feelings :"
loan,I can't believe you'd loan me your car without telling me it had a blind spot.,exact,"an amount of money that is borrowed , often from a bank , and has to be paid back, usually together with an extra amount of money that you have to pay as a charge for borrowing :"
bull,Bull queers take by force.,exact,"a male cow , or the male of particular animals such as the elephant or the whale :"
supply,Don't get high on your own supply.,exact,"to provide something that is wanted or needed , often in large quantities and over a long period of time :"
cattle,"This is just an ordinary prod, like a cattle prod.",exact,"a group of animals that includes cows , buffalo , and bison , that are often kept for their milk or meat :"
pregnant,"I'm not pregnant, but thanks for asking.",exact,(of a woman and some female animals ) having a baby or babies developing inside the womb :
awfully,That's awfully nice of you.,exact,"very or extremely , when used before an adjective or adverb :"
rotten,"What a dirty, rotten trick of fate.",exact,decayed :
changing,You're changing the subject.,exact,in a state of becoming different:
staring,What are you staring at?,exact,"looking at something for a long time with the eyes wide open , especially when surprised , frightened , or thinking :"
kicked,I'll get kicked out of school.,exact,past simple and past participle of kick
laws,"Fuck, there's no laws anymore.",exact,"a rule , usually made by a government , that is used to order the way in which a society behaves :"
express,Allow me to express the reason.,exact,"to show a feeling , opinion , or fact :"
ranch,Why did you leave that ranch?,exact,"a very large farm on which animals are kept , especially in North and South America :"
chosen,Some get chosen and become television programs.,exact,past participle of choose
romantic,You do not seem a romantic man.,exact,relating to love or a close loving relationship :
servant,Monsieur Picot is a French civil servant.,exact,"a person who is employed in another person's house , doing jobs such as cooking and cleaning , especially in the past"
super,Vegas and the Super Bowl cleaned me out.,exact,excellent :
sue,"What about you, Peggy Sue?",exact,"to take legal action against a person or organization , especially by making a legal claim for money because of some harm that they have caused you:"
remains,That remains to be seen.,exact,"pieces or parts of something that continue to exist when most of it has been used, destroyed , or taken away:"
knees,Get down on your knees.,exact,the middle joint of the leg that allows the leg to bend :
jean,Jean and Scotty never have to worry.,exact,"a short coat made of denim (= a thick , strong cotton cloth , used especially for making jeans ) :"
japan,All the best stuff is made in Japan.,exact,a country in East Asia formed of a group of islands
woman's,A woman's heart is a deep ocean of secrets.,exact,a way of describing a man or a woman who is popular with the opposite sex because they are intelligent as well as being physically attractive :
secrets,One of the most thrilling secrets in the world.,exact,a piece of information that is only known by one person or a few people and should not be told to others :
angeles,These men promptly escaped... from a maximum-security stockade... to the Los Angeles underground.,exact,the largest city in the western US state of California and a centre of the entertainment industry :
patients,It happens in hospitals when nurses fall in love with their patients.,exact,"a person who is receiving medical care , or who is cared for by a particular doctor or dentist when necessary :"
cruel,How can you be so cruel?,exact,(of a person or action ) extremely unkind and unpleasant and causing pain to people or animals intentionally :
disease,He put his disease in me.,exact,"(an) illness of people , animals , plants , etc., caused by infection or a failure of health rather than by an accident :"
miracle,You'll never unravel the mystery of the miracle!,exact,an unusual and mysterious event that is thought to have been caused by a god because it does not follow the usual laws of nature :
humans,A place of commerce and diplomacy for a quarter of a million humans and aliens.,exact,"being, relating to, or belonging to a person or to people as opposed to animals :"
robbery,Federal banks ain't supposed to stop you in any way during a robbery.,exact,the crime of stealing from somewhere or someone:
surface,For beneath the surface lies the future.,exact,the outer or top part or layer of something:
glory,Glory be to the Father,exact,"praise and thanks , especially as given to God :"
who'd,There are people who'd pay a lot of money for that information.,exact,short form of who had:
spending,We're spending too much time together here.,exact,"the money that is used for a particular purpose , especially by a government or organization :"
inform,"He says, Sorry to inform you, but your brother just died.",exact,to tell someone about particular facts :
outfit,How do I get out of this chickenshit outfit?,exact,a set of clothes worn for a particular occasion or activity :
babies,Isn't that how babies come?,exact,"a very young child , especially one that has not yet begun to walk or talk :"
joey,Your Uncle Joey didn't make parole again.,exact,a young kangaroo
where'd,Where'd you get the money?,exact,
customers,You talk to the customers.,exact,a person who buys goods or a service :
chase,Let's cut to the chase.,exact,"to hurry after someone or something in order to catch him, her, or it:"
extremely,I know I've never completely freed myself of the suspicion that there are some extremely odd things about this mission.,exact,very:
fruit,"Blessed is the fruit of thy womb, Jesus.",exact,the soft part containing seeds that is produced by a plant . Many types of fruit are sweet and can be eaten :
spoken,Have you spoken to him?,exact,past participle of speak
understanding,I thought we had an understanding.,exact,"knowledge about a subject , situation , etc. or about how something works :"
impression,That was my first impression of the man.,exact,an idea or opinion of what something or someone is like:
mystery,You are about to experience the awe and mystery which reaches from the inner mind to...,exact,something strange or not known that has not yet been explained or understood :
martial,The Greatest Martial Arts Games The Greatest Martial Arts Games,exact,"relating to soldiers , war , or life in the armed forces"
useless,It is useless to resist.,exact,of no use; not working or not achieving what is needed :
education,Perhaps we can find something more befitting a man of your education.,exact,"the process of teaching or learning , especially in a school or college , or the knowledge that you get from this:"
kelly,See what Kelly can do with it.,exact,"a bright , strong green colour"
cow,And we sat there all day as this old cow circled below.,exact,a large female farm animal kept to produce meat and milk :
healthy,You're only as healthy as you feel.,exact,strong and well:
quarters,I'll be in my quarters.,exact,"a room or house that has been provided , especially for servants or soldiers and their families , to live in:"
sand,How do you keep a wave upon the sand?,exact,"a substance that consists of very small grains of rock , found on beaches and in deserts :"
hong,Better confirm that flight to Hong Kong for me.,exact,"a region of China with its own government , formed of the island of Hong Kong and other islands"
mommy,My mommy always said there were no monsters.,exact,child's word for mother :
kong,"What have they got in there, King Kong?",exact,"a region of China with its own government , formed of the island of Hong Kong and other islands"
percent,"I made my usual 20 percent, of course.",exact,"for or out of every 100, shown by the symbol %:"
guarantee,"If you're worried about security, the Tattaglias will guarantee it.",exact,"a promise that something will be done or will happen , especially a written promise by a company to repair or change a product that develops a fault within a particular period of time :"
laughs,"And I bet you 10,000 he laughs his ass off.",exact,to smile while making sounds with your voice that show you think something is funny or you are happy :
photo,You come across a full-page nude photo of a girl.,exact,a photograph :
material,Through our newspaper contacts we've been able to put out material about McCluskey's link with Sollozzo in the drug rackets.,exact,a physical substance that things can be made from:
miserable,"You miserable bastard, I never should've pushed you out.",exact,very unhappy :
what'd,What'd you do that for?,exact,
entirely,That's entirely up to you.,exact,completely :
asshole,You are such an asshole.,exact,an unpleasant or stupid person :
treatment,Be sure these two get good treatment.,exact,the way you deal with or behave towards someone or something:
route,"An innocent victim of blind justice, falsely convicted for the murder of his wife, reprieved by fate when a train wreck freed him en route to the death house.",exact,a particular way or direction between places :
toast,I would like to propose a toast.,exact,"sliced bread made warm , crisp (= hard enough to break ) , and brown by being put near a high heat :"
silence,When you can just shut the fuck up for a minute and comfortably share silence.,exact,a period without any sound ; complete quiet :
bury,We're not gonna bury them.,exact,to put a dead body into the ground :
button,Push the button if you want to talk.,exact,"a small , usually circular object used to fasten something, for example a shirt or coat :"
beast,I thought that hairy beast would be the end of me.,exact,"an animal , especially a large or wild one:"
connection,Bypass the ground connection on the separation sequencer.,exact,the state of being related to someone or something else :
world's,We have the capability to make the world's first bionic man.,exact,
jake,"I can't take care of you no more, Jake.",exact,
garbage,Shut down all the garbage mashers on the detention level!,exact,waste material or unwanted things that you throw away
pie,We finally got a piece of the pie,exact,"a type of food made with meat , vegetables , or fruit covered in pastry and baked :"
asks,But he asks the impossible.,exact,"to put a question to someone, or to request an answer from someone:"
howard,Starring Andy Griffith... with Ronny Howard.,exact,
territory,It goes with the territory.,exact,an area of land or sea that is controlled by a particular country :
stronger,"And every minute Charlie squats in the bush, he gets stronger.",exact,powerful ; having or using great force or control :
fond,"But he was very fond of myself, me being very young and also now very interested in the Big Book.",exact,to like someone or something very much:
bone,"Tattooing around the head wound, scorched bone, close range.",exact,any of the hard parts inside a human or animal that make up its frame :
helen,"The truth, Helen, is always the right answer.",exact,
eaten,I haven't eaten in three days.,exact,past participle of eat
explanation,You owe me an explanation.,exact,the details or reasons that someone gives to make something clear or easy to understand :
jeff,"Jeff, did you hear what I said?",exact,"to swear , using words that are considered offensive :"
songs,With songs they have sung,exact,a usually short piece of music with words that are sung :
enterprise,These are the voyages of the Starship Enterprise.,exact,"an organization , especially a business , or a difficult and important plan , especially one that will earn money :"
i'ii,I'II take care of it.,exact,
dave,"Dave, come here and give me a hand.",exact,
girl's,But diamonds are a girl's best friend,exact,a weak and cowardly (= not brave ) man:
process,It's where the filtering process starts.,exact,a series of actions that you take in order to achieve a result :
magazine,It made the papers and got his picture in Look magazine.,exact,a type of thin book with large pages and a paper cover that contains articles and photographs and is published every week or month :
fake,"Bill Carson's a fake name, huh?",exact,an object that is made to look real or valuable in order to deceive people :
witnesses,"He's got witnesses, five or six of them.",exact,"a person who sees an event happening , especially a crime or an accident :"
solve,How do you solve a problem like Maria?,exact,to find an answer to a problem :
holiday,It's a jolly holiday with Mary,exact,"a time when someone does not go to work or school but is free to do what they want , such as travel or relax :"
successful,It's the price you pay for being successful.,exact,achieving the results wanted or hoped for:
hundreds,Said he pulled hundreds of jobs.,exact,"numbers between 100 and 1,000:"
goodness,Thank goodness you're here.,exact,"the part of something, especially of food , that is good for health :"
series,The 9000 Series is the most reliable computer ever made.,exact,"a number of similar or related events or things, one following another:"
yo,Shikou kairo wa short sunzen ima sugu aitai yo,exact,used as an informal greeting between people who know each other or as an expression of approval :
entered,Imperial troops have entered the base.,exact,past simple and past participle of enter
jones,I have no loyalty to Jones.,exact,to want something very much:
imagination,You unlock this door with the key of imagination.,exact,the ability to form pictures in the mind :
separate,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders.",exact,existing or happening independently or in a different physical space :
bond,My word is my bond.,exact,a close connection joining two or more people :
attractive,Do you find me attractive?,exact,very pleasing in appearance or sound :
cares,Who cares what you think?,exact,the process of protecting someone or something and providing what that person or thing needs :
screaming,What are you screaming about?,exact,present participle of scream
africa,"Kwame from Africa, with the power of Earth.",exact,"the continent that is to the south of the Mediterranean Sea, to the east of the Atlantic Ocean, and to the west of the Indian Ocean"
sarah,"There, with fellow JAG lawyer Major Sarah MacKenzie, he now fights in and out of the courtroom with the same daring and tenacity that made him a top gun in the air.",exact,
affairs,This one time I'll let you ask me about my affairs.,exact,a situation or subject that is being dealt with or considered :
brother's,for he is truly his brother's keeper...,exact,used as a way of saying that you are not responsible for what someone else does or for what happens to them
bars,I went to a few bars first.,exact,"a place , either a separate building or business or part of another building such as a hotel , where drinks , especially alcoholic drinks , are sold and drunk :"
setting,I was thinking about setting up some kind of trust fund for my kids' educations.,exact,the position of a house or other building :
crash,We're going to crash!,exact,"If a vehicle crashes or someone crashes it, it is involved in an accident , usually a serious one in which the vehicle is damaged and someone is hurt :"
punishment,Crime in the midst of punishment.,exact,the act of punishing someone:
wing,So Andy took Tommy under his wing.,exact,"the flat part of the body that a bird , insect , or bat uses for flying , or one of the flat , horizontal structures that stick out from the side of an aircraft and support it when it is flying :"
genius,Why would a nice guy like you wanna kill a genius?,exact,"very great and rare natural ability or skill , especially in a particular area such as science or art , or a person who has this:"
remembered,The guards on the opposing teams all remembered to bring their W-2s.,exact,past simple and past participle of remember
released,"Chances are, he'd be released by now.",exact,past simple and past participle of release
cliff,Meet me at the Navajo cliff.,exact,"a high area of rock with a very steep side , often on a coast :"
schedule,We're right on schedule.,exact,a list of planned activities or things to be done showing the times or dates when they are intended to happen or be done:
jumped,"You cut a loud fart, he jumped three feet.",exact,past simple and past participle of jump
awake,"I want you to stay awake up there, man.",exact,not sleeping :
recall,"You grilled me pretty hard, as I recall, on the Bureau's civil rights record in the Hoover years.",exact,"to bring the memory of a past event into your mind , and often to give a description of what you remember :"
tax,"Stocks, securities, tax-free municipals.",exact,(an amount of) money paid to the government that is based on your income or the cost of goods or services you have bought :
practically,They practically own South America.,exact,almost or very nearly :
contest,The world-famous Jackrabbit Slim's twist contest.,exact,"a competition to do better than other people , usually in which prizes are given:"
behave,We can at least behave like civilized people.,exact,to act in a particular way:
diamond,I've a ring on my finger with a diamond in it.,exact,"a transparent , extremely hard precious stone that is used in jewellery , and in industry for cutting hard things:"
cleaning,Napier's cleaning out Axis Chemicals.,exact,"the activity of removing the dirt from things and places , especially in a house :"
player,Best watched using Open Subtitles MKV Player,exact,someone who takes part in a game or sport :
chain,"You know, the box and the chain thing.",exact,"a series of things of the same type connected in a line , or a series of people standing in a line :"
stake,There's too much at stake.,exact,a share or a financial involvement in something such as a business :
winner,"The winner takes his enemy's head... and with it, his power.",exact,"someone who wins a game , competition , or election :"
files,Ellis Boyd Redding your files say you've served 40 years of a life sentence.,exact,"any of several different types of container used to store papers , letters , and other documents in an ordered way, especially in an office :"
performance,Public performance of captions prohibited without permission of national captioning institute,exact,"how well a person , machine , etc. does a piece of work or an activity :"
junior,"That's two you owe me, junior.",exact,someone who has a job at a low level within an organization :
highly,Your people do think very highly of Major Lawrence?,exact,"very, to a large degree , or at a high level :"
deny,Deny thy father and refuse thy name.,exact,to say that something is not true :
brand,Can't you feel a brand-new day,exact,a type of product made by a particular company and sold under a particular name :
salt,Back to the salt mines.,exact,"a common white substance found in sea water and in the ground , used especially to add flavour to food or to preserve it:"
signs,"Their signs are real low, but they ain't dead.",exact,"to write your name , usually on a written or printed document , to show that you agree with its contents or have written or created it yourself:"
belt,Put your seat belt on.,exact,a strip of leather or material worn around the waist to support clothes or for decoration :
boots,"No, they're still there but they've no boots.",exact,a type of shoe that covers the whole foot and the lower part of the leg :
mum,"Bit of a pain in the gulliver, Mum.",exact,a mother :
doll,You sure do look good in them baby doll shoes,exact,a child's toy in the shape of a small person or baby
screen,Put it on the screen.,exact,"a flat surface in a cinema , on a television , or as part of a computer , on which pictures or words are shown :"
matt,Starring James Arness as Matt Dillon.,exact,"used to describe a surface , colour , or paint that is not shiny :"
latest,Have you heard the latest?,exact,newest or most recent or modern :
leads,Do you have any leads?,exact,"to control a group of people , a country , or a situation :"
harder,You have to work harder.,exact,"not easy to bend , cut , or break :"
attend,I have business to attend to.,exact,"to go to an event , place , etc.:"
landing,Landing Rocket Arm switch is on.,exact,the fact of an aircraft arriving on the ground or a boat reaching land :
chris,Chris is at my place.,exact,
exact,"We're giving her a shot in the heart, so it's gotta be exact.",exact,"in great detail , or complete , correct , or true in every way:"
wolf,"What's the time, Mr. Wolf?",exact,a wild animal of the dog family :
struck,One of them struck our friend like a thunderbolt.,exact,past simple and past participle of strike
breathe,Give me some room to breathe!,exact,to move air or something else into and out of the lungs :
conscience,And always let your conscience be your guide,exact,the part of you that judges how moral your own actions are and makes you feel guilty about bad things that you have done or things you feel responsible for:
carter,Also starring... as Sergeant Carter.,exact,a person who drives a cart
searching,Searching for a way to tap into the hidden strengths that all humans have.,exact,intended to find out the often hidden truth about something:
international,"International cuisine, healthful and nutritious food.",exact,involving more than one country :
fan,He's a big fan of yours.,exact,"someone who admires and supports a person , sport , sports team , etc.:"
refused,He refused to share them.,exact,past simple and past participle of refuse
results,"My usual fee, plus a bonus if I get results.",exact,"the amount of a company's sales , profit , etc. during a particular period :"
terrific,You look terrific on the floor.,exact,very good:
grass,Our cavalry will ride them down like grass.,exact,"a low , green plant that grows naturally over a lot of the earth's surface , having groups of very thin leaves that grow close together in large numbers :"
marks,"On your marks, get set...",exact,"a small area on the surface of something that is damaged , dirty , or different in some way:"
effort,"...but towards the end, he was paroled to help with the American war effort, so for six months he's worked in my pastry shop.",exact,physical or mental activity needed to achieve something:
trace,When you can walk its length and leave no trace you will have learned.,exact,to find someone or something that was lost :
dirt,Four and a half months of dirt.,exact,"dust , soil , or any substance that makes a surface not clean :"
incident,"If Marsellus knew about this incident,",exact,an event that is either unpleasant or unusual :
progress,Progress is his middle name.,exact,"movement to an improved or more developed state , or to a forward position :"
nerve,You've got some nerve.,exact,"a group of long , thin fibres (= structures like threads ) that carry information or instructions between the brain and other parts of the body :"
el,Last week they were near El Ghira.,exact,"an unusual ocean current that happens along the western coast of South America every two to ten years , killing large numbers of sea creatures and causing noticeable and often severe changes in weather conditions in many areas of the world :"
brilliant,It was a brilliant bit of soldiering.,exact,extremely intelligent or skilled :
tests,I'm kind of nervous when I take tests.,exact,"a way of discovering , by questions or practical activities , what someone knows , or what someone or something can do or is like:"
johnson,This is Special Agent Johnson.,exact,
wave,How do you keep a wave upon the sand?,exact,"to raise your hand and move it from side to side as a way of greeting someone, telling someone to do something, or adding emphasis to an expression :"
access,Captioned by Media Access Group at WGBH access.wgbh.org,exact,the method or possibility of getting near to a place or person :
nasty,Now you're getting nasty.,exact,bad or very unpleasant :
crossed,You've just crossed over into the twilight zone.,exact,"(of someone's arms , legs , or fingers ) in a position where one arm , etc. is placed over the other one:"
destiny,Do you believe in destiny?,exact,the things that will happen in the future :
fields,That's the length of five football fields.,exact,"an area of land , used for growing crops or keeping animals , usually surrounded by a fence :"
eve,"I'm sorry I ruined your New Year's Eve party, Lieutenant Dan.",exact,the day or period before an important event :
incredible,Incredible how lucky some assholes get.,exact,"impossible , or very difficult , to believe :"
disappear,Where did you disappear to?,exact,"If people or things disappear, they go somewhere where they cannot be seen or found :"
cos,"That boar had to set off the trip flare, Major, cos there ain't no other tracks.",exact,not standard for because:
demand,"Ever since the XP-38 came out, they just aren't in demand.",exact,"to ask for something forcefully , in a way that shows that you do not expect to be refused :"
winning,"But I sure do love that winning horse of mine, though.",exact,that has won something:
senator,"How do you do, Senator?",exact,a politician who has been elected to a Senate :
source,How far are we from the source of transmission?,exact,"the place something comes from or starts at, or the cause of something:"
services,"Closed-Captioned By J.R. Media Services, Inc.",exact,"a place at the side of a large road at which fuel , food , drink , and other things that people want on their journey are sold :"
bullets,"A revolver holds six bullets, not eight.",exact,"a small , metal object that is shot from a gun :"
popular,Very popular with the royals.,exact,"liked , enjoyed , or supported by many people :"
ann,Why do I feel the hand of Mary Ann on this adventure?,exact,
aside,"Aside from how it looks, the car's cool.",exact,on or to one side :
ls,ls that what you want?,exact,"written abbreviation for age , sex , and location : used when you are talking to someone in an internet chat room and you want to ask how old they are, if they are male or female , and where they live"
spy,You can come spy on me if you like.,exact,a person who secretly collects and reports information about the activities of another country or organization
taxi,"One night, I follow her in a taxi.",exact,a car with a driver who you pay to take you somewhere :
wives,"Our wives, mothers, kids, everybody rode along.",exact,plural of wife
challenge,Risin' up to the challenge of our rival,exact,(the situation of being faced with) something that needs great mental or physical effort in order to be done successfully and therefore tests a person's ability :
empire,It's a good bet the Empire knows we're here.,exact,"a group of countries ruled by a single person , government , or country :"
anxious,Why are you so anxious?,exact,worried and nervous :
hollywood,"Rest, and in a month this Hollywood big shot will give you what you want.",exact,the centre of the US film industry
unknown,"He awoke to find himself trapped in the past, facing mirror images that were not his own... and driven by an unknown force to change history for the better.",exact,not known or familiar :
damned,It was outdoor detail and May is one damned fine month to be working outdoors.,exact,used to express anger with someone or something:
buck,"Come on, throw in a buck.",exact,a dollar :
